OBJECTID,DFGWATERID,MEAS,Distance,INPUTOID,UID,unit,location,lat,long
1,27720823,3627.865848,18.1732582,1,0,RNC_005,start,34.39351,-119.45858
2,27720823,5134.978177,13.96327725,2,1,RNC_005,end,34.40184,-119.44743
3,27720823,5134.978177,13.96327725,3,2,RNC_007,start,34.40184,-119.44743
4,27720823,5450.568012,-11.30012699,4,3,RNC_007,end,34.40395,-119.44653
5,27720823,5446.019212,-10.01200109,5,4,RNC_009,start,34.40396,-119.44658
6,27720823,5571.239117,-1.601201743,6,5,RNC_009,end,34.40453,-119.4457
7,27720823,5577.061861,-1.090754361,7,6,RNC_011,start,34.40458,-119.44572
8,27720823,5594.120889,4.930265972,8,7,RNC_011,end,34.40472,-119.44582
9,27720823,5597.742096,6.09164552,9,8,RNC_013,start,34.40475,-119.44584
10,27720823,5746.396167,-26.08547979,10,9,RNC_013,end,34.40596,-119.4454
11,27720823,5751.310688,-23.50996412,11,10,RNC_015,start,34.40601,-119.4454
12,27720823,6493.067904,0.834448812,12,11,RNC_015,end,34.4115,-119.44849
13,27720823,6493.067904,0.834448812,13,12,RNC_016,start,34.4115,-119.44849
14,27720823,6509.436739,-0.805948742,14,13,RNC_016,end,34.41161,-119.44861
15,27720823,6509.436739,-0.805948742,15,14,RNC_017,start,34.41161,-119.44861
16,27720823,6616.71655,9.168781908,16,15,RNC_017,end,34.41216,-119.44956
17,27720823,6616.71655,9.168781908,17,16,RNC_018,start,34.41216,-119.44956
18,27720823,6663.959093,-19.0722251,18,17,RNC_018,end,34.41264,-119.44944
