OBJECTID,DFGWATERID,MEAS,Distance,INPUTOID,UID,Unit,Location,Lat,Long
1,27713155,115.6980766,-11.68592778,1,0,SY_001,start,34.41985,-119.62467
2,27713155,1404.984073,4.3275152,2,1,SY_001,end,34.42997,-119.62244
3,27713155,1404.984073,4.3275152,3,2,SY_002,start,34.42997,-119.62244
4,27713155,2818.219054,-4.684950343,4,3,SY_002,end,34.44199,-119.62107
5,27713155,2817.988544,-5.574236402,5,4,SY_004,start,34.44199,-119.62106
6,27713155,2940.437914,-7.711329597,6,5,SY_004,end,34.44299,-119.62164
7,27713155,2942.557882,-10.86810125,7,6,SY_006,start,34.44302,-119.62162
8,27713155,3175.042256,10.91098235,8,7,SY_006,end,34.4449,-119.62265
9,27713155,3637.408954,21.46964432,9,8,SY_008,start,34.449,-119.62265
10,27713155,3284.793463,-6.036981041,10,9,SY_008,end,34.4459,-119.62251
