UID,unit,location,lat,long
0,crp_001,start,34.3927,-119.51627
1,crp_001,end,34.39271,-119.51423
2,crp_002,start,34.39271,-119.51423
3,crp_002,end,34.40127,-119.48846
4,crp_003,start,34.40127,-119.48846
5,crp_003,end,34.40129,-119.48593
6,crp_004,start,34.40129,-119.48593
7,crp_004,end,34.40577,-119.48295
8,crp_005,start,34.40577,-119.48295
9,crp_005,end,34.41329,-119.47491
10,crp_007,start,34.41333,-119.47485
11,crp_007,end,34.41887,-119.47945
12,crp_009,start,34.41888,-119.47942
13,crp_009,end,34.41971,-119.47956
